Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,Async Serial,I
0.001249360000000,Async Serial,n
0.002498720000000,Async Serial,i
0.003748080000000,Async Serial,t
0.004997440000000,Async Serial,' '
0.006246800000000,Async Serial,W
0.007496160000000,Async Serial,2
0.008745520000000,Async Serial,5
0.009994880000000,Async Serial,Q
0.011244240000000,Async Serial,1
0.012493600000000,Async Serial,2
0.013742960000000,Async Serial,8
0.014992320000000,Async Serial,F
0.016241680000000,Async Serial,V
0.017491040000000,Async Serial,' '
0.018740400000000,Async Serial,S
0.019989760000000,Async Serial,P
0.021239120000000,Async Serial,I
0.022488480000000,Async Serial,' '
0.023737840000000,Async Serial,C
0.024987200000000,Async Serial,o
0.026236560000000,Async Serial,m
0.027485920000000,Async Serial,m
0.028735280000000,Async Serial,.
0.029984640000000,Async Serial,.
0.031234000000000,Async Serial,x
0.032483360000000,Async Serial,y
0.033732720000000,Async Serial,' '
0.034982080000000,Async Serial,s
0.036231440000000,Async Serial,e
0.037480800000000,Async Serial,c
0.038730160000000,Async Serial,t
0.039979520000000,Async Serial,o
0.041228880000000,Async Serial,r
0.042478240000000,Async Serial,:
0.043727600000000,Async Serial,x
0.044976960000000,Async Serial,COMMA
0.046226320000000,Async Serial,' '
0.047475680000000,Async Serial,p
0.048725040000000,Async Serial,a
0.049974400000000,Async Serial,g
0.051223760000000,Async Serial,e
0.052473120000000,Async Serial,:
0.053722480000000,Async Serial,y
0.054971840000000,Async Serial,COMMA
0.056221200000000,Async Serial,' '
0.057470560000000,Async Serial,p
0.058719920000000,Async Serial,a
0.059969280000000,Async Serial,g
0.061218640000000,Async Serial,e
0.062468000000000,Async Serial,_
0.063717360000000,Async Serial,o
0.064966720000000,Async Serial,f
0.066216080000000,Async Serial,f
0.067465440000000,Async Serial,s
0.068714800000000,Async Serial,e
0.069964160000000,Async Serial,t
0.071213540000000,Async Serial,:
0.072462900000000,Async Serial,x
0.073712260000000,Async Serial,y
0.074961620000000,Async Serial,\r
0.076210980000000,Async Serial,\n
0.077460340000000,Async Serial,1
0.078709700000000,Async Serial,4
0.079959060000000,Async Serial,\r
0.081208420000000,Async Serial,\n
0.082457780000000,Async Serial,1
0.083707140000000,Async Serial,7
0.084956500000000,Async Serial,\r
0.086205860000000,Async Serial,\n
0.087455220000000,Async Serial,2
0.088704580000000,Async Serial,7
0.089953940000000,Async Serial,\r
0.091203300000000,Async Serial,\n
0.092452660000000,Async Serial,1
0.093702020000000,Async Serial,1
0.094951380000000,Async Serial,\r
0.096200740000000,Async Serial,\n
0.097450100000000,Async Serial,0
0.098699460000000,Async Serial,4
0.099948820000000,Async Serial,\r
0.101198180000000,Async Serial,\n
0.102447540000000,Async Serial,1
0.103696900000000,Async Serial,5
0.104946260000000,Async Serial,\r
0.106195620000000,Async Serial,\n
0.107444980000000,Async Serial,1
0.108694340000000,Async Serial,9
0.109943700000000,Async Serial,\r
0.111193060000000,Async Serial,\n
0.112442420000000,Async Serial,4
0.113691780000000,Async Serial,0
0.114941140000000,Async Serial,\r
0.116190500000000,Async Serial,\n
0.117439860000000,Async Serial,2
0.118689220000000,Async Serial,1
0.119938580000000,Async Serial,\r
0.121187940000000,Async Serial,\n
0.122437300000000,Async Serial,5
0.123686660000000,Async Serial,1
0.124936020000000,Async Serial,\r
0.126185380000000,Async Serial,\n
0.127434740000000,Async Serial,1
0.128684100000000,Async Serial,8
0.129933460000000,Async Serial,\r
0.131182820000000,Async Serial,\n
0.132432180000000,Async Serial,0
0.133681540000000,Async Serial,6
0.134930900000000,Async Serial,\r
0.136180260000000,Async Serial,\n
0.137429620000000,Async Serial,4
0.138678980000000,Async Serial,9
0.139928340000000,Async Serial,\r
0.141177700000000,Async Serial,\n
0.142427060000000,Async Serial,0
0.143676420000000,Async Serial,2
0.144925780000000,Async Serial,\r
0.146175140000000,Async Serial,\n
0.147424500000000,Async Serial,3
0.148673860000000,Async Serial,1
0.149923220000000,Async Serial,\r
0.151172580000000,Async Serial,\n
0.152421940000000,Async Serial,5
0.153671300000000,Async Serial,0
0.154920680000000,Async Serial,\r
0.156170040000000,Async Serial,\n
0.157419400000000,Async Serial,2
0.158668760000000,Async Serial,8
0.159918120000000,Async Serial,\r
0.161167480000000,Async Serial,\n
0.162416840000000,Async Serial,4
0.163666200000000,Async Serial,1
0.164915560000000,Async Serial,\r
0.166164920000000,Async Serial,\n
0.167414280000000,Async Serial,3
0.168663640000000,Async Serial,2
0.169913000000000,Async Serial,\r
0.171162360000000,Async Serial,\n
0.172411720000000,Async Serial,3
0.173661080000000,Async Serial,5
0.174910440000000,Async Serial,\r
0.176159800000000,Async Serial,\n
0.177409160000000,Async Serial,2
0.178658520000000,Async Serial,4
0.179907880000000,Async Serial,\r
0.181157240000000,Async Serial,\n
0.182406600000000,Async Serial,3
0.183655960000000,Async Serial,9
0.184905320000000,Async Serial,\r
0.186154680000000,Async Serial,\n
0.187404040000000,Async Serial,4
0.188653400000000,Async Serial,2
0.189902760000000,Async Serial,\r
0.191152120000000,Async Serial,\n
0.192401480000000,Async Serial,3
0.193650840000000,Async Serial,6
0.194900200000000,Async Serial,\r
0.196149560000000,Async Serial,\n
0.197398920000000,Async Serial,4
0.198648280000000,Async Serial,5
0.199897640000000,Async Serial,\r
0.201147000000000,Async Serial,\n
0.202396360000000,Async Serial,0
0.203645720000000,Async Serial,3
0.204895080000000,Async Serial,\r
0.206144440000000,Async Serial,\n
0.207393800000000,Async Serial,4
0.208643160000000,Async Serial,3
0.209892520000000,Async Serial,\r
0.211141880000000,Async Serial,\n
0.212391240000000,Async Serial,2
0.213640600000000,Async Serial,0
0.214889960000000,Async Serial,\r
0.216139320000000,Async Serial,\n
0.217388680000000,Async Serial,0
0.218638040000000,Async Serial,0
0.219887400000000,Async Serial,\r
0.221136760000000,Async Serial,\n
0.222386120000000,Async Serial,0
0.223635480000000,Async Serial,1
0.224884840000000,Async Serial,\r
0.226134200000000,Async Serial,\n
0.227383580000000,Async Serial,0
0.228632940000000,Async Serial,9
0.229882300000000,Async Serial,\r
0.231131660000000,Async Serial,\n
0.232381020000000,Async Serial,4
0.233630380000000,Async Serial,4
0.234879740000000,Async Serial,\r
0.236129100000000,Async Serial,\n
0.237378460000000,Async Serial,3
0.238627820000000,Async Serial,8
0.239877180000000,Async Serial,\r
0.241126540000000,Async Serial,\n
0.242375900000000,Async Serial,0
0.243625280000000,Async Serial,7
0.244874640000000,Async Serial,\r
0.246124000000000,Async Serial,\n
0.247373360000000,Async Serial,2
0.248622720000000,Async Serial,2
0.249872080000000,Async Serial,\r
0.251121440000000,Async Serial,\n
0.252370800000000,Async Serial,0
0.253620160000000,Async Serial,8
0.254869520000000,Async Serial,\r
0.256118880000000,Async Serial,\n
0.257368240000000,Async Serial,1
0.258617620000000,Async Serial,3
0.259866980000000,Async Serial,\r
0.261116340000000,Async Serial,\n
0.262365700000000,Async Serial,2
0.263615060000000,Async Serial,3
0.264864420000000,Async Serial,\r
0.266113780000000,Async Serial,\n
0.267363140000000,Async Serial,3
0.268612500000000,Async Serial,7
0.269861860000000,Async Serial,\r
0.271111220000000,Async Serial,\n
0.272360580000000,Async Serial,1
0.273609960000000,Async Serial,0
0.274859320000000,Async Serial,\r
0.276108680000000,Async Serial,\n
0.277358040000000,Async Serial,4
0.278607400000000,Async Serial,7
0.279856760000000,Async Serial,\r
0.281106120000000,Async Serial,\n
0.282355480000000,Async Serial,0
0.283604840000000,Async Serial,5
0.284854200000000,Async Serial,\r
0.286103560000000,Async Serial,\n
0.287352920000000,Async Serial,3
0.288602280000000,Async Serial,3
0.289851640000000,Async Serial,\r
0.291101020000000,Async Serial,\n
0.292350380000000,Async Serial,2
0.293599740000000,Async Serial,6
0.294849100000000,Async Serial,\r
0.296098460000000,Async Serial,\n
0.297347820000000,Async Serial,4
0.298597180000000,Async Serial,6
0.299846540000000,Async Serial,\r
0.301095900000000,Async Serial,\n
0.302345260000000,Async Serial,2
0.303594620000000,Async Serial,5
0.304843980000000,Async Serial,\r
0.306093340000000,Async Serial,\n
